typeName,typeID,groupName,maxProductionLimit,basePrice,published,buildTime,outputQuantity,productName,productGroup4Name,productGroup3Name,productGroup2Name,productGroup1Name,productGroup0Name
"Scandium Metallofullerene Reaction Formula",46162,"Polymer Reaction Formulas",1000,15000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Graphene Nanoribbons Reaction Formula",46163,"Polymer Reaction Formulas",1000,15000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Carbon-86 Epoxy Resin Reaction Formula",46164,"Polymer Reaction Formulas",1000,15000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C3-FTM Acid Reaction Formula",46165,"Polymer Reaction Formulas",1000,15000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Caesarium Cadmide Reaction Formula",46166,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Carbon Polymers Reaction Formula",46167,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ceramic Powder Reaction Formula",46168,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Crystallite Alloy Reaction Formula",46169,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dysporite Reaction Formula",46170,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Fernite Alloy Reaction Formula",46171,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ferrofluid Reaction Formula",46172,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Fluxed Condensates Reaction Formula",46173,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hexite Reaction Formula",46174,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hyperflurite Reaction Formula",46175,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Neo Mercurite Reaction Formula",46176,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Platinum Technite Reaction Formula",46177,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Rolled Tungsten Alloy Reaction Formula",46178,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Silicon Diborite Reaction Formula",46179,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Solerium Reaction Formula",46180,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sulfuric Acid Reaction Formula",46181,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Titanium Chromide Reaction Formula",46182,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Vanadium Hafnite Reaction Formula",46183,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Prometium Reaction Formula",46184,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Thulium Hafnite Reaction Formula",46185,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Promethium Mercurite Reaction Formula",46186,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Vanadium Hafnite Reaction Formula",46187,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Platinum Technite Reaction Formula",46188,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Solerium Reaction Formula",46189,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Caesarium Cadmide Reaction Formula",46190,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Hexite Reaction Formula",46191,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Rolled Tungsten Alloy Reaction Formula",46192,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Titanium Chromide Reaction Formula",46193,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Fernite Alloy Reaction Formula",46194,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Crystallite Alloy Reaction Formula",46195,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Hyperflurite Reaction Formula",46196,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Ferrofluid Reaction Formula",46197,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Prometium Reaction Formula",46198,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Neo Mercurite Reaction Formula",46199,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Dysporite Reaction Formula",46200,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Fluxed Condensates Reaction Formula",46201,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Thulium Hafnite Reaction Formula",46202,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Unrefined Promethium Mercurite Reaction Formula",46203,"Composite Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Titanium Carbide Reaction Formula",46204,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Crystalline Carbonide Reaction Formula",46205,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Fernite Carbide Reaction Formula",46206,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tungsten Carbide Reaction Formula",46207,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sylramic Fibers Reaction Formula",46208,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Fulleride Reaction Formula",46209,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Phenolic Composites Reaction Formula",46210,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Nanotransistors Reaction Formula",46211,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hypersynaptic Fibers Reaction Formula",46212,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ferrogel Reaction Formula",46213,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Fermionic Condensates Reaction Formula",46214,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Plasmonic Metamaterials Reaction Formula",46215,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Terahertz Metamaterials Reaction Formula",46216,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Photonic Metamaterials Reaction Formula",46217,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Nonlinear Metamaterials Reaction Formula",46218,"Composite Reaction Formulas",1000,20000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Synth Drop Booster Reaction Formula",46219,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Synth Exile Booster Reaction Formula",46220,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Synth Frentix Booster Reaction Formula",46221,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Standard Frentix Booster Reaction Formula",46222,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Standard Drop Booster Reaction Formula",46223,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Standard Exile Booster Reaction Formula",46224,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Standard Mindflood Booster Reaction Formula",46225,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Standard X-Instinct Booster Reaction Formula",46226,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Standard Sooth Sayer Booster Reaction Formula",46227,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Synth Mindflood Booster Reaction Formula",46228,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Synth Sooth Sayer Booster Reaction Formula",46229,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Standard Blue Pill Booster Reaction Formula",46230,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Standard Crash Booster Reaction Formula",46231,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Synth X-Instinct Booster Reaction Formula",46232,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Synth Blue Pill Booster Reaction Formula",46233,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Synth Crash Booster Reaction Formula",46234,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Strong Blue Pill Booster Reaction Formula",46235,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Improved Crash Booster Reaction Formula",46236,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Improved Drop Booster Reaction Formula",46237,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Improved Exile Booster Reaction Formula",46238,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Improved Mindflood Booster Reaction Formula",46240,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Improved Frentix Booster Reaction Formula",46241,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Improved X-Instinct Booster Reaction Formula",46242,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Improved Sooth Sayer Booster Reaction Formula",46243,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Strong Crash Booster Reaction Formula",46244,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Strong Drop Booster Reaction Formula",46245,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Strong Exile Booster Reaction Formula",46246,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Strong Mindflood Booster Reaction Formula",46247,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Strong Frentix Booster Reaction Formula",46248,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Strong X-Instinct Booster Reaction Formula",46249,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Strong Sooth Sayer Booster Reaction Formula",46250,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Improved Blue Pill Booster Reaction Formula",46251,"Biochemical Reaction Formulas",1000,10000000.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Esoteric Data Interface Blueprint",25584,"Tool Blueprint",8,NULL,1,72000,1,"Esoteric Data Interface",NULL,NULL,NULL,NULL,NULL
"Occult Data Interface Blueprint",25585,"Tool Blueprint",8,NULL,1,72000,1,"Occult Data Interface",NULL,NULL,NULL,NULL,NULL
"Incognito Data Interface Blueprint",25586,"Tool Blueprint",8,NULL,1,72000,1,"Incognito Data Interface",NULL,NULL,NULL,NULL,NULL
"Cryptic Data Interface Blueprint",25587,"Tool Blueprint",8,NULL,1,72000,1,"Cryptic Data Interface",NULL,NULL,NULL,NULL,NULL
"Occult Ship Data Interface Blueprint",25852,"Tool Blueprint",8,NULL,1,72000,1,"Occult Ship Data Interface",NULL,NULL,NULL,NULL,NULL
"Esoteric Ship Data Interface Blueprint",25854,"Tool Blueprint",8,NULL,1,72000,1,"Esoteric Ship Data Interface",NULL,NULL,NULL,NULL,NULL
"Incognito Ship Data Interface Blueprint",25856,"Tool Blueprint",8,NULL,1,72000,1,"Incognito Ship Data Interface",NULL,NULL,NULL,NULL,NULL
"Cryptic Ship Data Interface Blueprint",25858,"Tool Blueprint",8,NULL,1,72000,1,"Cryptic Ship Data Interface",NULL,NULL,NULL,NULL,NULL
"Mining Foreman Link - Harvester Capacitor Efficiency I Blueprint",22554,"Gang Coordinator Blueprint",50,1732280.0000,1,3600,1,"Mining Foreman Link - Harvester Capacitor Efficiency I",NULL,NULL,NULL,NULL,NULL
"Mining Foreman Link - Mining Laser Field Enhancement I Blueprint",22556,"Gang Coordinator Blueprint",50,1732280.0000,1,3600,1,"Mining Foreman Link - Mining Laser Field Enhancement I",NULL,NULL,NULL,NULL,NULL
"Mining Foreman Link - Laser Optimization I Blueprint",22558,"Gang Coordinator Blueprint",50,1732280.0000,1,3600,1,"Mining Foreman Link - Laser Optimization I",NULL,NULL,NULL,NULL,NULL
"'Wild' Miner I Blueprint",22924,"Mining Laser Blueprint",200,NULL,1,900,1,"'Wild' Miner I",NULL,NULL,NULL,NULL,NULL
"Sansha Wrath Cruise Missile Blueprint",2179,"Missile Blueprint",200,3000000.0000,1,900,100,"Haunter Cruise Missile",NULL,NULL,NULL,NULL,NULL
"Sansha Juggernaut Torpedo Blueprint",2211,"Missile Blueprint",200,9000000.0000,1,900,100,"Banshee Torpedo",NULL,NULL,NULL,NULL,NULL
"Primae Blueprint",2864,"Industrial Blueprint",10,9999999.0000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Mangled Sansha Data Analyzer Blueprint",3590,"Data Miner Blueprint",600,332640.0000,1,300,1,"Mangled Sansha Data Analyzer",NULL,NULL,NULL,NULL,NULL
"Mining Foreman Link - Harvester Capacitor Efficiency II Blueprint",4275,"Gang Coordinator Blueprint",10,1732280.0000,1,9360,1,"Mining Foreman Link - Harvester Capacitor Efficiency II",NULL,NULL,NULL,NULL,NULL
"Mining Foreman Link - Laser Optimization II Blueprint",4277,"Gang Coordinator Blueprint",10,1732280.0000,1,9360,1,"Mining Foreman Link - Laser Optimization II",NULL,NULL,NULL,NULL,NULL
"Mining Foreman Link - Mining Laser Field Enhancement II Blueprint",4279,"Gang Coordinator Blueprint",10,1732280.0000,1,9360,1,"Mining Foreman Link - Mining Laser Field Enhancement II",NULL,NULL,NULL,NULL,NULL
"Advanced Cerebral Accelerator Blueprint",33088,"Booster Blueprints",300,NULL,1,600,1,"Advanced Cerebral Accelerator",NULL,NULL,NULL,NULL,NULL
"Prototype Cerebral Accelerator Blueprint",33112,"Booster Blueprints",300,NULL,1,600,1,"Prototype Cerebral Accelerator",NULL,NULL,NULL,NULL,NULL
"Stratios Emergency Responder Blueprint",33554,"Cruiser Blueprint",10,NULL,1,12000,1,"Stratios Emergency Responder",NULL,NULL,NULL,NULL,NULL
"Mobile Decoy Unit Blueprint",33588,"Mobile Decoy Unit Blueprint",10,150000000.0000,1,12000,1,"Mobile Decoy Unit",NULL,NULL,NULL,NULL,NULL
"Small Intact Hull Section",34412,"Sleeper Hull Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Small Malfunctioning Hull Section",34414,"Sleeper Hull Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Small Wrecked Hull Section",34416,"Sleeper Hull Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Intact Armor Nanobot",30614,"Sleeper Defensive Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Malfunctioning Armor Nanobot",30615,"Sleeper Defensive Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Wrecked Armor Nanobot",30618,"Sleeper Defensive Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Intact Weapon Subroutines",30628,"Sleeper Offensive Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Malfunctioning Weapon Subroutines",30632,"Sleeper Offensive Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Wrecked Weapon Subroutines",30633,"Sleeper Offensive Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Intact Hull Section",30752,"Sleeper Hull Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Malfunctioning Hull Section",30753,"Sleeper Hull Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Wrecked Hull Section",30754,"Sleeper Hull Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Cryptic Tuner Data Interface Blueprint",26598,"Tool Blueprint",8,NULL,1,72000,1,"Cryptic Tuner Data Interface",NULL,NULL,NULL,NULL,NULL
"Esoteric Tuner Data Interface Blueprint",26600,"Tool Blueprint",8,NULL,1,72000,1,"Esoteric Tuner Data Interface",NULL,NULL,NULL,NULL,NULL
"Incognito Tuner Data Interface Blueprint",26602,"Tool Blueprint",8,NULL,1,72000,1,"Incognito Tuner Data Interface",NULL,NULL,NULL,NULL,NULL
"Occult Tuner Data Interface Blueprint",26604,"Tool Blueprint",8,NULL,1,72000,1,"Occult Tuner Data Interface",NULL,NULL,NULL,NULL,NULL
"Civilian Data Analyzer Blueprint",27015,"Data Miner Blueprint",600,20000.0000,1,120,1,"Civilian Data Analyzer",NULL,NULL,NULL,NULL,NULL
"Modified Augumene Antidote Blueprint",29204,"Drug Blueprint",600,NULL,1,300,1,"Modified Augumene Antidote",NULL,NULL,NULL,NULL,NULL
"Basic Robotics Blueprint",29227,"Tool Blueprint",1000,NULL,1,480,1,"Basic Robotics",NULL,NULL,NULL,NULL,NULL
"Intact Thruster Sections",30187,"Sleeper Propulsion Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Malfunctioning Thruster Sections",30558,"Sleeper Propulsion Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Wrecked Thruster Sections",30562,"Sleeper Propulsion Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Intact Power Cores",30582,"Sleeper Engineering Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Malfunctioning Power Cores",30586,"Sleeper Engineering Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Wrecked Power Cores",30588,"Sleeper Engineering Relics",300,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Concussion Bomb Blueprint",27913,"Bomb Blueprint",300,200000000.0000,1,600,20,"Concussion Bomb",NULL,NULL,NULL,"Ammunition & Charges",Bombs
"Scorch Bomb Blueprint",27917,"Bomb Blueprint",300,200000000.0000,1,600,20,"Scorch Bomb",NULL,NULL,NULL,"Ammunition & Charges",Bombs
"Shrapnel Bomb Blueprint",27919,"Bomb Blueprint",300,200000000.0000,1,600,20,"Shrapnel Bomb",NULL,NULL,NULL,"Ammunition & Charges",Bombs
"Electron Bomb Blueprint",27921,"Bomb Blueprint",300,200000000.0000,1,600,20,"Electron Bomb",NULL,NULL,NULL,"Ammunition & Charges",Bombs
"Lockbreaker Bomb Blueprint",27923,"Bomb Blueprint",300,150000000.0000,1,600,20,"Lockbreaker Bomb",NULL,NULL,NULL,"Ammunition & Charges",Bombs
"Void Bomb Blueprint",27925,"Bomb Blueprint",300,150000000.0000,1,600,20,"Void Bomb",NULL,NULL,NULL,"Ammunition & Charges",Bombs
"Cap Booster 3200 Blueprint",41598,"Capacitor Booster Charge Blueprint",200,20000000.0000,1,900,10,"Cap Booster 3200",NULL,NULL,NULL,"Ammunition & Charges","Cap Booster Charges"
"Cap Booster 75 Blueprint",3553,"Capacitor Booster Charge Blueprint",600,500000.0000,1,300,10,"Cap Booster 75",NULL,NULL,NULL,"Ammunition & Charges","Cap Booster Charges"
"Cap Booster 100 Blueprint",3555,"Capacitor Booster Charge Blueprint",600,1000000.0000,1,300,10,"Cap Booster 100",NULL,NULL,NULL,"Ammunition & Charges","Cap Booster Charges"
"Cap Booster 150 Blueprint",11284,"Capacitor Booster Charge Blueprint",300,1750000.0000,1,600,10,"Cap Booster 150",NULL,NULL,NULL,"Ammunition & Charges","Cap Booster Charges"
"Cap Booster 200 Blueprint",11286,"Capacitor Booster Charge Blueprint",300,2500000.0000,1,600,10,"Cap Booster 200",NULL,NULL,NULL,"Ammunition & Charges","Cap Booster Charges"
