typeID,materialTypeID,materialQuantity
937,36,1875
937,37,375
938,34,32000
938,35,6000
938,36,2500
938,37,500
939,34,24000
939,35,4500
939,36,1875
939,37,375
940,34,32000
940,35,6000
940,36,2500
940,37,500
941,34,32000
941,35,6000
941,36,2500
941,37,500
944,34,32000
944,35,6000
944,36,2500
944,37,500
945,34,32000
945,35,6000
945,36,2500
945,37,500
946,34,24000
946,35,4500
946,36,1875
946,37,375
949,34,32000
949,35,6000
949,36,2500
949,37,500
950,34,32000
950,35,6000
950,36,2500
950,37,500
952,34,35200
952,35,6600
952,36,2750
952,37,550
954,34,35200
954,35,6600
954,36,2750
954,37,550
955,34,32000
955,35,6000
955,36,2500
955,37,500
956,34,24000
956,35,4500
956,36,1875
956,37,375
967,34,2778
968,34,540000
968,35,180000
968,36,36000
968,37,10000
968,38,1500
968,39,350
968,40,140
969,34,540000
969,35,180000
969,36,36000
969,37,10000
969,38,1500
969,39,350
969,40,140
970,34,405000
970,35,135000
970,36,27000
970,37,7500
970,38,1125
970,39,263
970,40,105
971,34,540000
971,35,180000
971,36,36000
971,37,10000
971,38,1500
971,39,350
971,40,140
972,34,540000
972,35,180000
972,36,36000
972,37,10000
972,38,1500
972,39,350
972,40,140
973,34,405000
973,35,135000
973,36,27000
973,37,7500
973,38,1125
973,39,263
973,40,105
974,34,540000
974,35,180000
974,36,36000
974,37,10000
974,38,1500
974,39,350
974,40,140
975,34,540000
975,35,180000
975,36,36000
975,37,10000
975,38,1500
975,39,350
975,40,140
976,34,405000
976,35,135000
976,36,27000
976,37,7500
976,38,1125
976,39,263
976,40,105
977,34,405000
977,35,135000
977,36,27000
977,37,7500
977,38,1125
977,39,263
977,40,105
978,34,405000
978,35,135000
978,36,27000
978,37,7500
978,38,1125
978,39,263
978,40,105
979,34,405000
979,35,135000
979,36,27000
979,37,7500
979,38,1125
979,39,263
979,40,105
983,34,80000
983,35,15000
983,36,3750
983,37,2000
983,38,750
983,39,125
983,40,70
984,34,80000
984,35,15000
984,36,3750
984,37,2000
984,38,750
984,39,125
984,40,70
985,34,80000
985,35,15000
985,36,3750
985,37,2000
985,38,750
985,39,125
985,40,70
986,34,80000
986,35,15000
986,36,3750
986,37,2000
986,38,750
986,39,125
986,40,70
987,34,80000
987,35,15000
987,36,3750
987,37,2000
987,38,750
987,39,125
987,40,70
988,34,80000
988,35,15000
988,36,3750
988,37,2000
988,38,750
988,39,125
988,40,70
989,34,80000
989,35,15000
989,36,3750
989,37,2000
989,38,750
989,39,125
989,40,70
990,34,80000
990,35,15000
990,36,3750
990,37,2000
990,38,750
990,39,125
990,40,70
991,34,80000
991,35,15000
991,36,3750
991,37,2000
991,38,750
991,39,125
991,40,70
992,34,80000
992,35,15000
992,36,3750
992,37,2000
992,38,750
992,39,125
992,40,70
994,34,6000000
994,35,3000000
994,36,450000
994,37,300000
994,38,9000
994,39,4500
994,40,2250
994,57478,150
994,57479,1
994,57486,75
995,34,8000000
995,35,4000000
995,36,600000
995,37,400000
995,38,12000
995,39,6000
995,40,3000
995,57478,200
995,57479,1
995,57486,100
996,34,8000000
996,35,4000000
996,36,600000
996,37,400000
996,38,12000
996,39,6000
996,40,3000
996,57478,200
996,57479,1
996,57486,100
997,34,8000000
997,35,4000000
997,36,600000
997,37,400000
997,38,12000
997,39,6000
997,40,3000
997,57478,200
997,57479,1
997,57486,100
998,34,8000000
998,35,4000000
998,36,600000
998,37,400000
998,38,12000
998,39,6000
998,40,3000
998,57478,200
998,57479,1
998,57486,100
999,34,8000000
999,35,4000000
999,36,600000
999,37,400000
999,38,12000
999,39,6000
999,40,3000
999,57478,200
999,57479,1
999,57486,100
1002,21009,100
1002,21011,400
1002,21013,200
1002,21017,300
1002,21019,400
1002,21021,300
1002,21023,150
1002,21025,400
1002,21035,100
1002,21037,200
1002,24545,556
1002,24547,556
1002,24556,556
1002,24558,556
1002,24560,556
1002,57472,500
1002,57476,500
1002,57478,5000
1002,57486,2500
1002,57487,40
1002,57489,1
1010,34,916
1010,35,64
1010,36,29
1010,38,4
1013,3685,3
1013,11399,1
1013,377,1
1013,11558,3
1013,11484,1
1026,34,458
1026,35,610
1026,36,51
1026,37,4
1026,38,3
1027,11399,1
1027,393,1
1027,9838,3
1027,11484,1
1027,3685,1
1032,34,1327
1032,35,481
1032,36,113
1033,11399,1
1033,9838,1
1033,399,1
1033,11556,3
1033,11484,1
1067,34,3967
1067,35,2131
1067,36,228
1067,37,13
1067,38,2
1071,11399,1
1071,11530,3
1071,11531,15
1071,11475,1
1071,439,1
1071,11549,8
1072,34,708
1072,35,643
1072,36,1
1072,38,1
1073,11399,17
1073,11530,24
1073,11531,15
1073,434,1
1073,11475,1
1073,11549,8
1074,34,589
1074,35,3
1074,36,14
1075,34,551
1075,36,34
1076,34,1111
1079,34,502
1079,35,297
1079,36,334
1079,37,197
1079,39,4
1080,11399,8
1080,11534,3
1080,9840,8
1080,9842,15
1080,11540,9
1080,11483,1
1080,447,1
1095,520,1
1095,3689,8
1095,11399,8
1095,11538,8
1095,9842,3
1095,11483,1
1096,34,773
1096,35,491
1096,36,518
1096,37,3
1096,39,4
1099,40,4
1099,34,858
1099,35,288
1100,34,470
1100,35,6827
1102,34,862
1102,35,792
1102,36,529
1103,11399,8
1103,11538,3
1103,526,1
1103,9840,12
1103,9842,8
1103,11483,1
1105,40,2
1105,34,7396
1105,35,967
1105,38,3
1106,40,2
1106,34,2093
1106,35,1532
1106,36,22
1106,37,138
1109,34,520
1109,35,39
1109,36,198
1109,37,96
1109,39,2
1109,40,2
1112,34,231
1112,35,220
1113,34,996
1113,35,300
1113,39,2
1114,34,1667
1114,35,144
1114,36,83
1114,37,22
1115,34,1596
1115,35,690
1115,36,144
1116,34,2729
1116,35,148
1116,36,171
1116,39,4
1117,40,2
1117,34,4453
1117,35,1287
1117,36,1199
1118,34,827
1118,35,598
1118,36,493
1119,34,9089
1119,35,2786
1119,36,2827
1119,37,14
1119,38,1
1120,34,4529
1120,35,1643
1120,36,2413
1120,38,1
1121,34,9133
1121,35,2981
1121,36,3599
1121,37,2
1121,38,18
1122,34,45551
1122,35,12150
1122,36,6060
1122,37,1596
1122,38,126
1122,39,16
1123,40,8
1123,34,13683
1123,35,4117
1123,36,3851
1123,39,2
1124,34,91067
1124,35,23527
1124,36,8613
1124,37,2294
1124,38,324
1124,39,18
1124,40,52
1125,34,113880
1125,35,29214
1125,36,9747
1125,37,2650
1125,38,411
1125,39,42
1125,40,74
1126,34,68307
1126,35,17839
1126,36,7197
1126,37,1951
1126,38,234
1126,39,12
1126,40,26
1128,40,2
1128,34,242
1128,35,148
1128,36,569
1128,39,2
1129,34,8071
1129,35,7488
1129,36,219
1129,37,2
1130,34,27
1130,35,21
1131,34,38
1131,35,32
1132,34,58
1132,35,23
1132,37,1
1133,34,118
1133,36,1
1133,37,2
1134,34,58
1134,35,64
1134,36,1
1135,34,69
1135,35,76
1135,36,1
1136,34,164
1136,35,17
1136,37,3
1137,34,204
1137,35,17
1137,38,1
1138,34,164
1138,35,17
1138,37,3
1139,34,224
1139,35,3
1139,36,23
1140,34,136
1140,35,166
1140,36,2
1141,34,412
1141,35,2
1141,36,3
1141,37,3
1141,38,1
1142,34,450
1142,36,32
1142,38,1
1143,34,257
1143,35,300
1143,36,4
1144,34,526
1144,35,133
1144,36,2
1144,37,11
1145,34,449
1145,35,417
1145,36,7
1146,34,249
1146,35,198
1146,37,1
1147,34,520
1147,35,100
1147,36,2
1147,37,2
1147,38,2
1148,34,511
1148,35,428
1149,34,458
1149,35,580
1150,34,1040
1150,35,156
1150,36,104
1151,34,1236
1151,35,223
1151,36,110
1152,34,1529
1152,36,89
1152,37,23
1153,34,1778
1153,35,127
1153,36,89
1153,37,29
1154,35,8
1154,37,3
1154,38,1
1154,39,1
1155,34,4
1155,35,1
1155,36,2
1155,37,3
1155,38,3
1156,34,4
1156,36,3
1156,37,8
1157,34,3
1157,35,1
1157,36,2
1157,37,10
1158,34,2
1158,35,3
1158,36,2
1158,37,12
1159,34,2
1159,36,11
1159,37,1
1159,39,1
1160,34,2
1160,35,6
1160,36,4
1160,37,2
1160,38,2
1160,39,1
1161,35,4
1161,37,3
1161,38,3
1161,39,1
1162,34,27
1162,36,13
1162,37,3
1162,38,19
1162,39,2
1162,40,2
1163,40,2
1163,36,59
1163,37,3
1163,38,3
1164,40,1
1164,35,2
1164,36,62
1165,40,1
1165,35,4
1165,36,33
1165,37,27
1166,40,1
1166,35,8
1166,36,3
1166,37,53
1166,38,1
1167,40,2
1167,34,40
1167,36,12
1167,38,18
1168,35,3
1168,36,46
1168,37,3
1168,38,1
1168,39,4
1168,40,3
1169,40,4
1169,34,36
1169,36,18
1169,38,1
1169,39,3
1170,34,13
1170,35,6
1170,36,6
1170,37,47
1170,38,17
1170,39,9
1170,40,37
1171,40,24
1171,36,87
1171,37,3
1171,38,1
1171,39,9
1172,35,9
1172,36,110
1172,37,4
1172,38,4
1172,39,2
1172,40,12
1173,35,57
1173,36,54
1173,37,3
1173,38,3
1173,39,3
1173,40,16
1174,40,19
1174,35,104
1174,37,2
1174,38,3
1174,39,4
1175,35,2
1175,36,67
1175,37,20
1175,38,4
1175,39,17
1175,40,29
1176,35,51
1176,36,2
1176,37,3
1176,38,20
1176,39,7
1176,40,44
1177,35,36
1177,36,4
1177,37,24
1177,38,3
1177,39,14
1177,40,50
1178,34,173
1178,35,42
1178,36,13
1179,34,500
1179,35,40
1179,36,19
1179,37,7
1184,11399,1
1184,523,1
1184,11475,1
1184,11539,1
1184,9848,3
1186,34,684
1186,35,427
1186,36,153
1186,37,2
1186,38,2
1191,11399,5
1191,11554,8
1191,9838,15
1191,529,1
1191,11539,5
1191,11482,1
1196,40,2
1196,34,763
1196,35,321
1196,36,412
1204,34,666
1204,35,502
1204,36,1
1204,37,1
1205,11399,1
1205,1197,1
1205,11475,1
1205,11543,1
1205,11544,1
1205,11545,3
1208,34,596
1208,35,16
1208,36,3
1208,37,14
1210,34,538
1210,35,52
1210,36,298
1210,37,9
1210,38,4
1210,39,4
1210,40,6
1212,34,13889
1214,34,5947
1214,35,729
1214,37,47
1214,38,27
1214,39,18
1216,34,150
1216,35,18
1216,36,12
1218,40,2
1218,34,56
1218,37,2
1218,38,9
1220,34,31
1220,35,26
1221,40,4
1221,34,1876
1221,39,12
1237,11399,1
1237,3689,3
1237,11530,5
1237,11475,1
1237,1244,1
1245,34,234
1245,35,3413
1247,34,507
1247,35,51
1247,36,73
1247,37,7
1249,11399,1
1249,11554,5
1249,9838,5
1249,11539,1
1249,11482,1
1249,1246,1
1255,34,231
1255,35,307
1255,36,18
1255,37,9
1257,1254,1
1257,11399,1
1257,11554,5
1257,9838,5
1257,11539,1
1257,11482,1
1265,34,666
1265,35,502
1265,36,1
1265,37,1
1267,11399,1
1267,1264,1
1267,11475,1
1267,11542,3
1267,11543,3
1275,34,666
1275,35,502
1275,36,1
1275,37,1
1277,11399,1
1277,11475,1
1277,11543,3
1277,11544,3
1277,1274,1
1285,34,666
1285,35,502
1285,36,1
1285,37,1
1287,1284,1
1287,11399,1
1287,11475,1
1287,11542,1
1287,11545,1
1287,11544,3
1295,34,666
1295,35,502
1295,36,1
1295,37,1
1297,11399,1
1297,1294,1
1297,11475,1
1297,11542,3
1297,11545,3
1305,34,896
1305,35,698
1305,36,29
1307,11399,1
1307,11544,1
1307,11475,1
1307,11542,1
1307,11543,1
1307,1304,1
1307,11545,1
1318,37,10
1318,38,1
1320,1317,1
1320,11399,1
1320,11538,1
1320,11475,1
1320,3828,8
1320,11545,1
1334,34,6944
1336,11475,1
1336,3828,8
1336,1333,1
1336,11399,1
1354,34,516
1354,35,67
1354,36,2
1354,37,73
1356,11399,1
1356,1353,1
1356,11554,3
1356,9838,3
1356,11539,5
1356,11482,1
1404,34,1786
1404,35,304
1404,36,1
1406,11399,1
1406,3689,5
1406,11530,3
1406,11475,1
1406,1403,1
1423,11399,1
1423,11554,1
1423,9838,8
1423,11539,1
1423,11482,1
1423,2331,1
1437,11536,3
1437,11399,3
1437,9840,5
1437,9842,11
1437,11540,1
1437,11483,1
1437,1182,1
1437,11551,1
1446,34,1116
1446,35,861
1446,38,3
1448,1445,1
1448,11399,1
1448,11554,1
1448,9838,8
1448,11539,1
1448,11482,1
1540,35,658
1540,36,2
1540,37,4
1540,38,1
1540,39,4
1542,11554,1
1542,11539,8
1542,11399,1
1542,9838,1
1542,1539,1
1542,11482,1
1548,34,6538
1548,35,4288
1548,36,7
1548,38,2
1548,39,6
1550,1547,1
1550,11692,6
1550,11482,1
1550,11399,3
1552,40,2
1552,34,6649
1552,35,4381
1552,36,97
1552,38,1
1554,11399,3
1554,11693,6
1554,1551,1
1554,11482,1
1558,40,2
1558,34,7889
1558,35,4948
1558,36,51
1558,38,1
1560,11399,3
1560,11695,6
1560,1557,1
1560,11482,1
1564,40,2
1564,34,7884
1564,35,5283
1564,36,17
1564,39,4
1566,11399,3
1566,11694,6
1566,11482,1
1566,1563,1
1809,34,2106
1809,35,2077
1811,34,69
1811,35,43
1811,36,2
1815,34,54
1815,35,16
1815,36,6
1817,34,58
1817,35,72
1819,34,820
1819,38,2
1821,34,496
1821,35,220
1821,38,2
1823,34,351
1823,35,119
1823,38,1
1825,34,716
1825,35,2
1825,36,6
1825,38,3
1827,34,1867
1827,35,144
1827,36,17
1827,38,2
1827,39,4
1829,34,3084
1829,35,472
1829,36,68
1829,39,4
1831,34,1447
1831,36,81
1831,37,4
1831,39,2
1833,34,1842
1833,35,707
1833,39,4
1856,11483,1
1856,11399,1
1856,9840,3
1856,9842,5
1856,11539,5
1856,443,1
1876,34,560
1876,35,492
1876,36,92
1876,37,2
1876,38,3
1878,11399,3
1878,1875,1
1878,11540,5
1878,9848,3
1878,11486,1
1945,34,80000
1945,35,15000
1945,36,3750
1945,37,2000
1945,38,750
1945,39,125
1945,40,70
2007,34,540000
2007,35,180000
2007,36,36000
2007,37,10000
2007,38,1500
2007,39,350
2007,40,140
2019,34,1338
2019,35,1058
2019,36,493
2019,37,2
2019,38,1
2021,34,4574
2021,35,1734
2021,36,1307
2021,39,4
2025,577,1
2025,11399,3
2025,11554,6
2025,9838,12
2025,11539,5
2025,11482,1
2033,11399,3
2033,1195,1
2033,11554,1
2033,9838,5
2033,11539,1
2033,11482,1
2039,11399,1
2039,9840,3
2039,9842,5
2039,11539,5
2039,442,1
2039,11483,1
2047,34,1062
2047,35,2
2047,36,53
2049,11553,1
2049,11399,1
2049,3689,5
2049,11695,1
2049,11475,1
2049,3828,3
2049,11542,1
2049,11540,1
2049,2046,1
2118,11536,3
2118,580,1
2118,11399,6
2118,11534,3
2118,11535,3
2118,9840,8
2118,11537,3
2118,9842,9
2118,11541,5
2118,11483,1
2162,34,24000
2162,35,4500
2162,36,1875
2162,37,375
2174,34,3133
2174,35,160
2174,36,154
2174,37,1
2174,38,8
2174,39,2
2176,11689,1
2176,9834,3
2176,11399,3
2176,9848,3
2176,11481,1
2176,2173,1
2179,34,1867
2179,35,144
2179,36,17
2179,38,2
2179,39,4
2184,34,3413
2184,35,2
2184,36,224
2184,37,11
2184,39,4
2186,2183,1
2186,11688,1
2186,9834,3
2186,9848,3
2186,11481,1
2186,11399,3
2194,34,8516
2194,36,627
2194,37,9
2194,38,2
2194,39,8
2194,40,4
2196,11689,3
2196,9834,6
2196,11399,6
2196,2193,1
2196,9848,6
2196,11481,1
2204,34,471
2204,36,4
2204,38,2
2206,11399,1
2206,11689,1
2206,9834,1
2206,9848,1
2206,11481,1
2206,2203,1
2211,40,4
2211,34,1876
2211,39,12
2282,578,1
2282,11558,8
2282,11399,11
2282,9838,15
2282,11555,8
2282,11556,8
2282,11484,1
2282,11557,8
2290,34,8071
2290,35,7488
2290,36,219
2290,37,2
2292,34,8071
2292,35,7488
2292,36,219
2292,37,2
2294,34,8071
2294,35,7488
2294,36,219
2294,37,2
2296,34,8071
2296,35,7488
2296,36,219
2296,37,2
2298,11399,8
2298,9838,9
2298,2289,1
2298,11555,24
2298,11484,1
2300,11558,24
2300,11399,8
2300,9838,9
2300,2291,1
2300,11484,1
2302,11399,8
2302,9838,9
2302,2293,1
2302,11484,1
2302,11557,24
2304,11399,8
2304,9838,9
2304,2295,1
2304,11556,24
2304,11484,1
2332,34,1116
2332,35,861
2332,38,3
2334,11399,1
2334,9840,3
2334,9842,5
2334,11539,5
2334,11483,1
2334,444,1
2342,11536,1
2342,581,1
2342,11399,1
2342,11538,5
2342,9840,8
2342,9842,6
2342,11483,1
2356,11399,1
2356,524,1
2356,11538,1
2356,11475,1
2356,9848,3
2405,11399,3
2405,499,1
2405,11540,6
2405,9848,3
2405,11486,1
2411,11399,6
2411,11540,3
2411,501,1
2411,9848,6
2411,11486,1
2421,11399,24
2421,11540,24
2421,503,1
2421,9848,24
2421,11486,1
2437,9834,6
2437,11399,6
2437,1201,1
2437,9848,6
2437,11481,1
2437,11690,3
2445,40,8
2445,34,258
2445,35,4964
2445,38,2
2447,11399,6
2447,9834,6
2447,2444,1
2447,11688,3
2447,9848,6
2447,11481,1
2455,34,509
2455,35,7
2455,37,4
2455,38,2
2457,11399,1
2457,11688,1
2457,9834,1
2457,2454,1
2457,9848,1
2457,11481,1
2465,34,538
2465,35,69
2465,37,4
2465,38,2
2467,2464,1
2467,11399,1
2467,9834,1
2467,9848,1
2467,11481,1
2467,11690,1
2477,34,7120
2477,35,896
2477,37,73
2477,38,9
2477,39,8
2479,9834,6
2479,11399,6
2479,2476,1
2479,9848,6
2479,11481,1
2479,11691,3
2487,34,951
2487,35,7
2487,36,7
2487,38,4
2489,11399,1
2489,9834,1
2489,11691,1
2489,2486,1
2489,9848,1
2489,11481,1
2507,40,6
2507,34,3924
2507,35,356
2507,36,28
2509,34,3729
2509,35,833
2509,39,14
2511,34,3989
2511,35,2939
2511,36,29
2511,37,2
2511,38,2
2511,39,2
2513,34,48
2513,35,37
2515,34,33
2515,35,28
2517,34,24
2517,35,19
2530,34,2106
2530,35,2077
2532,2529,1
2532,11399,5
2532,9838,6
2532,11555,8
2532,11484,1
2538,34,2106
2538,35,2077
2540,11556,8
2540,11399,5
2540,2537,1
2540,9838,6
2540,11484,1
2546,34,2106
2546,35,2077
2548,11558,8
2548,11399,5
2548,9838,6
2548,2545,1
2548,11484,1
2554,11557,8
2554,11399,5
2554,9838,6
2554,1808,1
2554,11484,1
2604,37,10
2604,38,1
2606,11399,1
2606,2603,1
2606,11475,1
2606,3828,8
2614,16680,12
2614,11476,1
2614,11694,3
2614,9830,12
2614,11399,1
2622,16680,59
2622,11695,14
2622,11476,1
2622,9830,129
2622,11399,15
2630,16680,18
2630,11476,1
2630,11693,14
2630,9830,126
2630,11399,8
2638,16680,59
2638,11695,14
2638,11476,1
2638,9830,129
2638,11399,15
2648,16680,12
2648,11695,3
2648,11476,1
2648,9830,12
2648,11399,1
2656,16680,18
2656,11692,14
2656,11476,1
2656,9830,126
2656,11399,8
2680,11399,1
2680,11476,1
2680,11693,3
2680,9830,12
2680,16680,12
2735,21037,11
2735,2867,28
2735,2868,20
2735,2869,42
2735,2870,42
2735,2871,28
2735,2872,28
2735,2875,42
2735,2876,20
2736,3242,1
2736,2867,1
2736,2876,1
2737,21037,2
2737,2867,6
2737,2868,4
2737,2869,9
2737,2870,9
2737,2871,6
2737,2872,6
2737,2875,9
2737,2876,4
2739,17392,1
2739,2348,1
2739,2463,4
2740,2867,1
2740,2876,1
2740,447,1
2741,526,1
2741,2867,1
2741,2876,1
2742,25270,1
2743,25271,1
2744,17982,1
2745,25821,1
2746,25280,1
2747,30655,1
2748,14343,1
2749,24657,1
2750,21037,22
2750,2867,56
2750,2868,39
2750,2869,83
2750,2870,83
2750,2871,56
2750,2872,56
2750,2875,83
2750,2876,39
2751,24655,1
2752,21037,1
2752,2867,1
2752,2870,4
2752,2872,1
2752,2875,2
2752,2876,1
2753,24653,1
2754,24658,1
2755,2291,1
2755,2867,1
2755,2868,1
2755,2869,1
2756,24575,1
2757,2289,1
2757,2867,1
2757,2868,1
2757,2870,1
2758,24660,1
2759,2867,1
2759,2868,1
2759,2870,1
2759,2295,1
2760,24659,1
2761,2867,1
2761,2868,1
2761,2293,1
2761,2870,1
2763,1968,1
2763,2867,1
2763,2876,1
2764,13780,1
2765,19470,1
2766,29613,1
2767,12239,1
2768,24654,1
2769,12238,1
2770,16220,1
2771,24574,1
2772,30389,1
2773,24656,1
2774,21037,9
2774,2867,20
2774,2868,36
2774,2869,29
2774,2870,31
2774,2871,20
2774,2872,20
2774,2875,31
2774,2876,13
2775,21037,4
2775,2867,10
2775,2868,18
2775,2869,16
2775,2870,16
2775,2871,10
2775,2872,10
2775,2875,16
2775,2876,7
2776,21037,2
2776,2867,4
2776,2868,9
2776,2869,7
2776,2870,7
2776,2871,4
2776,2872,4
2776,2875,7
2776,2876,4
2777,21037,9
2777,2867,20
2777,2868,36
2777,2869,29
2777,2870,31
2777,2871,20
2777,2872,20
2777,2875,31
2777,2876,13
2778,21037,4
2778,2867,10
2778,2868,18
2778,2869,16
2778,2870,16
2778,2871,10
2778,2872,10
2778,2875,16
2778,2876,7
2779,21037,2
2779,2867,4
2779,2868,9
2779,2869,7
2779,2870,7
2779,2871,4
2779,2872,4
2779,2875,7
2779,2876,4
2780,21037,9
2780,2867,20
2780,2868,36
2780,2869,29
2780,2870,31
2780,2871,20
2780,2872,20
2780,2875,31
2780,2876,13
2781,21037,4
2781,2867,10
2781,2868,18
2781,2869,16
2781,2870,16
2781,2871,10
2781,2872,10
2781,2875,16
2781,2876,7
2782,21037,2
2782,2867,4
2782,2868,9
2782,2869,7
2782,2870,7
2782,2871,4
2782,2872,4
2782,2875,7
2782,2876,4
2783,21037,9
2783,2867,20
2783,2868,36
2783,2869,29
2783,2870,31
2783,2871,20
2783,2872,20
2783,2875,31
2783,2876,13
2784,21037,4
2784,2867,10
2784,2868,18
2784,2869,16
2784,2870,16
2784,2871,10
2784,2872,10
2784,2875,16
2784,2876,7
2785,21037,2
2785,2867,4
2785,2868,9
2785,2869,7
2785,2870,7
2785,2871,4
2785,2872,4
2785,2875,7
2785,2876,4
2786,16221,1
2787,34,111111
2787,38,222
2787,40,112
2787,2870,1
2787,2872,1
2787,2875,1
2788,27673,1
2789,27674,1
2790,24684,1
2791,16869,1
2792,2876,1
2792,2867,1
2792,1948,1
2793,22634,1
2794,1958,1
2794,2867,1
2794,2876,1
2795,30656,1
2796,1955,1
2796,2867,1
2796,2876,1
2797,20175,1
2798,1956,1
2798,2867,1
2798,2876,1
2799,12269,1
2799,2867,1
2799,2870,1
2800,27897,1
2802,16680,132
2802,11692,30
2802,11476,1
2802,9830,437
2802,11399,30
2803,2867,1
2803,2870,1
2803,2872,1
2803,573,1
2804,2867,2
2804,2870,1
2804,2872,2
2804,574,1
2805,498,1
2805,2867,2
2805,2870,1
2805,2872,2
2806,2872,1
2806,2867,1
2806,568,1
2807,496,1
2807,2867,1
2807,2870,1
2807,2872,1
2808,2867,1
2808,2872,1
2808,570,1
2810,493,1
2810,2867,1
2810,2872,1
2812,16680,132
2812,11695,30
2812,11476,1
2812,9830,437
2812,11399,30
2813,2872,1
2813,564,1
2814,491,1
2814,2867,1
2814,2872,1
2815,565,1
2815,2872,1
2816,488,1
2816,2872,1
2818,16672,45
2818,9830,6
2818,11399,1
2818,16680,5
