typeName,meterialTypeName,materialQuantity
"Tempest Blueprint","Life Support Backup Unit",100
"Miner II Blueprint",Morphite,1
"Miner II Blueprint","Mechanical Parts",8
"Miner II Blueprint","Miner I",1
"Miner II Blueprint","Photon Microprocessor",5
"Miner II Blueprint","Laser Focusing Crystals",3
"Miner II Blueprint","R.A.M.- Energy Tech",1
"Miner I Blueprint",Tritanium,1324
"Miner I Blueprint",Pyerite,481
"Miner I Blueprint",Mexallon,119
"Light Missile Launcher I Blueprint",Tritanium,471
"Light Missile Launcher I Blueprint",Pyerite,716
"Heavy Missile Launcher I Blueprint",Tritanium,3258
"Heavy Missile Launcher I Blueprint",Pyerite,2926
"Heavy Missile Launcher I Blueprint",Mexallon,107
"Torpedo Launcher I Blueprint",Megacyte,22
"Torpedo Launcher I Blueprint",Tritanium,122
"Torpedo Launcher I Blueprint",Pyerite,1342
"Torpedo Launcher I Blueprint",Nocxium,9
"Torpedo Launcher I Blueprint",Zydrine,4
"Mjolnir Cruise Missile Blueprint",Tritanium,3084
"Mjolnir Cruise Missile Blueprint",Pyerite,472
"Mjolnir Cruise Missile Blueprint",Mexallon,68
"Mjolnir Cruise Missile Blueprint",Zydrine,4
"Scourge Cruise Missile Blueprint",Tritanium,1867
"Scourge Cruise Missile Blueprint",Pyerite,144
"Scourge Cruise Missile Blueprint",Mexallon,17
"Scourge Cruise Missile Blueprint",Nocxium,2
"Scourge Cruise Missile Blueprint",Zydrine,4
"Inferno Cruise Missile Blueprint",Tritanium,1842
"Inferno Cruise Missile Blueprint",Pyerite,707
"Inferno Cruise Missile Blueprint",Zydrine,4
"Nova Cruise Missile Blueprint",Tritanium,1447
"Nova Cruise Missile Blueprint",Mexallon,81
"Nova Cruise Missile Blueprint",Isogen,4
"Nova Cruise Missile Blueprint",Zydrine,2
"Nova Heavy Missile Blueprint",Tritanium,351
"Nova Heavy Missile Blueprint",Pyerite,119
"Nova Heavy Missile Blueprint",Nocxium,1
"Mjolnir Heavy Missile Blueprint",Tritanium,496
"Mjolnir Heavy Missile Blueprint",Pyerite,220
"Mjolnir Heavy Missile Blueprint",Nocxium,2
"Inferno Heavy Missile Blueprint",Tritanium,716
"Inferno Heavy Missile Blueprint",Pyerite,2
"Inferno Heavy Missile Blueprint",Mexallon,6
"Inferno Heavy Missile Blueprint",Nocxium,3
"Scourge Heavy Missile Blueprint",Tritanium,820
"Scourge Heavy Missile Blueprint",Nocxium,2
"Scourge Light Missile Blueprint",Tritanium,69
"Scourge Light Missile Blueprint",Pyerite,43
"Scourge Light Missile Blueprint",Mexallon,2
"Inferno Light Missile Blueprint",Tritanium,58
"Inferno Light Missile Blueprint",Pyerite,72
"Mjolnir Light Missile Blueprint",Tritanium,150
"Mjolnir Light Missile Blueprint",Pyerite,18
"Mjolnir Light Missile Blueprint",Mexallon,12
"Nova Light Missile Blueprint",Tritanium,54
"Nova Light Missile Blueprint",Pyerite,16
"Nova Light Missile Blueprint",Mexallon,6
"125mm Gatling AutoCannon I Blueprint",Tritanium,231
"125mm Gatling AutoCannon I Blueprint",Pyerite,220
"150mm Light AutoCannon I Blueprint",Tritanium,996
"150mm Light AutoCannon I Blueprint",Pyerite,300
"150mm Light AutoCannon I Blueprint",Zydrine,2
"200mm AutoCannon I Blueprint",Tritanium,1667
"200mm AutoCannon I Blueprint",Pyerite,144
"200mm AutoCannon I Blueprint",Mexallon,83
"200mm AutoCannon I Blueprint",Isogen,22
"250mm Light Artillery Cannon I Blueprint",Tritanium,1596
"250mm Light Artillery Cannon I Blueprint",Pyerite,690
"250mm Light Artillery Cannon I Blueprint",Mexallon,144
"280mm Howitzer Artillery I Blueprint",Tritanium,2729
"280mm Howitzer Artillery I Blueprint",Pyerite,148
"280mm Howitzer Artillery I Blueprint",Mexallon,171
"280mm Howitzer Artillery I Blueprint",Zydrine,4
"Dual 180mm AutoCannon I Blueprint",Tritanium,827
"Dual 180mm AutoCannon I Blueprint",Pyerite,598
"Dual 180mm AutoCannon I Blueprint",Mexallon,493
"220mm Vulcan AutoCannon I Blueprint",Megacyte,2
"220mm Vulcan AutoCannon I Blueprint",Tritanium,4453
"220mm Vulcan AutoCannon I Blueprint",Pyerite,1287
"220mm Vulcan AutoCannon I Blueprint",Mexallon,1199
"425mm AutoCannon I Blueprint",Tritanium,4529
"425mm AutoCannon I Blueprint",Pyerite,1643
"425mm AutoCannon I Blueprint",Mexallon,2413
"425mm AutoCannon I Blueprint",Nocxium,1
"650mm Artillery Cannon I Blueprint",Tritanium,9089
"650mm Artillery Cannon I Blueprint",Pyerite,2786
"650mm Artillery Cannon I Blueprint",Mexallon,2827
"650mm Artillery Cannon I Blueprint",Isogen,14
"650mm Artillery Cannon I Blueprint",Nocxium,1
"720mm Howitzer Artillery I Blueprint",Tritanium,9133
"720mm Howitzer Artillery I Blueprint",Pyerite,2981
"720mm Howitzer Artillery I Blueprint",Mexallon,3599
"720mm Howitzer Artillery I Blueprint",Isogen,2
"720mm Howitzer Artillery I Blueprint",Nocxium,18
"Dual 425mm AutoCannon I Blueprint",Megacyte,8
"Dual 425mm AutoCannon I Blueprint",Tritanium,13684
"Dual 425mm AutoCannon I Blueprint",Pyerite,4117
"Dual 425mm AutoCannon I Blueprint",Mexallon,3851
"Dual 425mm AutoCannon I Blueprint",Zydrine,2
"Dual 650mm Repeating Cannon I Blueprint",Tritanium,45551
"Dual 650mm Repeating Cannon I Blueprint",Pyerite,12150
"Dual 650mm Repeating Cannon I Blueprint",Mexallon,6060
"Dual 650mm Repeating Cannon I Blueprint",Isogen,1596
"Dual 650mm Repeating Cannon I Blueprint",Nocxium,126
"Dual 650mm Repeating Cannon I Blueprint",Zydrine,16
"800mm Repeating Cannon I Blueprint",Tritanium,68307
"800mm Repeating Cannon I Blueprint",Pyerite,17839
"800mm Repeating Cannon I Blueprint",Mexallon,7197
"800mm Repeating Cannon I Blueprint",Isogen,1951
"800mm Repeating Cannon I Blueprint",Nocxium,234
"800mm Repeating Cannon I Blueprint",Zydrine,12
"800mm Repeating Cannon I Blueprint",Megacyte,26
"1200mm Artillery Cannon I Blueprint",Tritanium,91067
"1200mm Artillery Cannon I Blueprint",Pyerite,23527
"1200mm Artillery Cannon I Blueprint",Mexallon,8613
"1200mm Artillery Cannon I Blueprint",Isogen,2294
"1200mm Artillery Cannon I Blueprint",Nocxium,324
"1200mm Artillery Cannon I Blueprint",Zydrine,18
"1200mm Artillery Cannon I Blueprint",Megacyte,52
"1400mm Howitzer Artillery I Blueprint",Tritanium,113880
"1400mm Howitzer Artillery I Blueprint",Pyerite,29214
"1400mm Howitzer Artillery I Blueprint",Mexallon,9747
"1400mm Howitzer Artillery I Blueprint",Isogen,2650
"1400mm Howitzer Artillery I Blueprint",Nocxium,411
"1400mm Howitzer Artillery I Blueprint",Zydrine,42
"1400mm Howitzer Artillery I Blueprint",Megacyte,74
"Gatling Pulse Laser I Blueprint",Tritanium,231
"Gatling Pulse Laser I Blueprint",Pyerite,220
"Dual Light Pulse Laser I Blueprint",Tritanium,1102
"Dual Light Pulse Laser I Blueprint",Pyerite,113
"Dual Light Pulse Laser I Blueprint",Mexallon,4
"Dual Light Pulse Laser I Blueprint",Nocxium,2
"Dual Light Pulse Laser I Blueprint",Zydrine,2
"Dual Light Beam Laser I Blueprint",Tritanium,1742
"Dual Light Beam Laser I Blueprint",Pyerite,6
"Dual Light Beam Laser I Blueprint",Mexallon,78
"Dual Light Beam Laser I Blueprint",Isogen,13
"Dual Light Beam Laser I Blueprint",Zydrine,2
"Small Focused Pulse Laser I Blueprint",Tritanium,1556
"Small Focused Pulse Laser I Blueprint",Pyerite,1158
"Small Focused Pulse Laser I Blueprint",Mexallon,3
"Small Focused Pulse Laser I Blueprint",Isogen,7
"Small Focused Beam Laser I Blueprint",Tritanium,2200
"Small Focused Beam Laser I Blueprint",Pyerite,809
"Small Focused Beam Laser I Blueprint",Mexallon,21
"Small Focused Beam Laser I Blueprint",Isogen,4
"Small Focused Beam Laser I Blueprint",Zydrine,4
"Quad Light Beam Laser I Blueprint",Tritanium,9
"Quad Light Beam Laser I Blueprint",Pyerite,598
"Quad Light Beam Laser I Blueprint",Mexallon,493
"Focused Medium Pulse Laser I Blueprint",Megacyte,2
"Focused Medium Pulse Laser I Blueprint",Tritanium,4453
"Focused Medium Pulse Laser I Blueprint",Pyerite,1287
"Focused Medium Pulse Laser I Blueprint",Mexallon,1199
"Focused Medium Beam Laser I Blueprint",Tritanium,4529
"Focused Medium Beam Laser I Blueprint",Pyerite,1643
"Focused Medium Beam Laser I Blueprint",Mexallon,2413
"Focused Medium Beam Laser I Blueprint",Nocxium,1
"Heavy Pulse Laser I Blueprint",Tritanium,9089
"Heavy Pulse Laser I Blueprint",Pyerite,2786
"Heavy Pulse Laser I Blueprint",Mexallon,2827
"Heavy Pulse Laser I Blueprint",Isogen,14
"Heavy Pulse Laser I Blueprint",Nocxium,1
"Heavy Beam Laser I Blueprint",Tritanium,9133
"Heavy Beam Laser I Blueprint",Pyerite,2981
"Heavy Beam Laser I Blueprint",Mexallon,3599
"Heavy Beam Laser I Blueprint",Isogen,2
"Heavy Beam Laser I Blueprint",Nocxium,18
"Dual Heavy Pulse Laser I Blueprint",Megacyte,8
"Dual Heavy Pulse Laser I Blueprint",Tritanium,13684
"Dual Heavy Pulse Laser I Blueprint",Pyerite,4117
"Dual Heavy Pulse Laser I Blueprint",Mexallon,3851
"Dual Heavy Pulse Laser I Blueprint",Zydrine,2
"Dual Heavy Beam Laser I Blueprint",Tritanium,45551
"Dual Heavy Beam Laser I Blueprint",Pyerite,12150
"Dual Heavy Beam Laser I Blueprint",Mexallon,6060
"Dual Heavy Beam Laser I Blueprint",Isogen,1596
"Dual Heavy Beam Laser I Blueprint",Nocxium,126
"Dual Heavy Beam Laser I Blueprint",Zydrine,16
"Mega Pulse Laser I Blueprint",Tritanium,68307
"Mega Pulse Laser I Blueprint",Pyerite,17839
"Mega Pulse Laser I Blueprint",Mexallon,7197
"Mega Pulse Laser I Blueprint",Isogen,1951
"Mega Pulse Laser I Blueprint",Nocxium,234
"Mega Pulse Laser I Blueprint",Zydrine,12
"Mega Pulse Laser I Blueprint",Megacyte,26
"Mega Beam Laser I Blueprint",Tritanium,91067
"Mega Beam Laser I Blueprint",Pyerite,23527
"Mega Beam Laser I Blueprint",Mexallon,8613
"Mega Beam Laser I Blueprint",Isogen,2294
"Mega Beam Laser I Blueprint",Nocxium,324
"Mega Beam Laser I Blueprint",Zydrine,18
"Mega Beam Laser I Blueprint",Megacyte,52
"Tachyon Beam Laser I Blueprint",Tritanium,113880
"Tachyon Beam Laser I Blueprint",Pyerite,29214
"Tachyon Beam Laser I Blueprint",Mexallon,9747
"Tachyon Beam Laser I Blueprint",Isogen,2650
"Tachyon Beam Laser I Blueprint",Nocxium,411
"Tachyon Beam Laser I Blueprint",Zydrine,42
"Tachyon Beam Laser I Blueprint",Megacyte,74
"Carbonized Lead S Blueprint",Tritanium,27
"Carbonized Lead S Blueprint",Pyerite,21
"Nuclear S Blueprint",Tritanium,38
"Nuclear S Blueprint",Pyerite,32
"Proton S Blueprint",Tritanium,58
"Proton S Blueprint",Pyerite,23
"Proton S Blueprint",Isogen,1
"Depleted Uranium S Blueprint",Tritanium,118
"Depleted Uranium S Blueprint",Mexallon,1
"Depleted Uranium S Blueprint",Isogen,2
"Titanium Sabot S Blueprint",Tritanium,58
"Titanium Sabot S Blueprint",Pyerite,64
"Titanium Sabot S Blueprint",Mexallon,1
"Fusion S Blueprint",Tritanium,162
"Fusion S Blueprint",Pyerite,3
"Fusion S Blueprint",Isogen,3
"Phased Plasma S Blueprint",Tritanium,164
"Phased Plasma S Blueprint",Pyerite,17
"Phased Plasma S Blueprint",Isogen,3
"EMP S Blueprint",Tritanium,204
"EMP S Blueprint",Pyerite,17
"EMP S Blueprint",Nocxium,1
"Carbonized Lead M Blueprint",Tritanium,164
"Carbonized Lead M Blueprint",Pyerite,17
"Carbonized Lead M Blueprint",Isogen,3
"Nuclear M Blueprint",Tritanium,116
"Nuclear M Blueprint",Pyerite,129
"Nuclear M Blueprint",Mexallon,2
"Proton M Blueprint",Tritanium,139
"Proton M Blueprint",Pyerite,194
"Depleted Uranium M Blueprint",Tritanium,290
"Depleted Uranium M Blueprint",Pyerite,119
"Depleted Uranium M Blueprint",Mexallon,14
"Depleted Uranium M Blueprint",Isogen,2
"Titanium Sabot M Blueprint",Tritanium,288
"Titanium Sabot M Blueprint",Pyerite,254
"Fusion M Blueprint",Tritanium,239
"Fusion M Blueprint",Pyerite,318
"Fusion M Blueprint",Mexallon,1
"Phased Plasma M Blueprint",Tritanium,668
"Phased Plasma M Blueprint",Pyerite,36
"Phased Plasma M Blueprint",Mexallon,4
"Phased Plasma M Blueprint",Isogen,14
"EMP M Blueprint",Tritanium,449
"EMP M Blueprint",Pyerite,417
"EMP M Blueprint",Mexallon,7
"Carbonized Lead L Blueprint",Tritanium,249
"Carbonized Lead L Blueprint",Pyerite,198
"Carbonized Lead L Blueprint",Isogen,1
"Nuclear L Blueprint",Tritanium,520
"Nuclear L Blueprint",Pyerite,100
"Nuclear L Blueprint",Mexallon,2
"Nuclear L Blueprint",Isogen,2
"Nuclear L Blueprint",Nocxium,2
"Proton L Blueprint",Tritanium,511
"Proton L Blueprint",Pyerite,428
"Depleted Uranium L Blueprint",Tritanium,458
"Depleted Uranium L Blueprint",Pyerite,580
"Titanium Sabot L Blueprint",Tritanium,1040
"Titanium Sabot L Blueprint",Pyerite,156
"Titanium Sabot L Blueprint",Mexallon,104
"Fusion L Blueprint",Tritanium,1236
"Fusion L Blueprint",Pyerite,223
"Fusion L Blueprint",Mexallon,110
"Phased Plasma L Blueprint",Tritanium,1529
"Phased Plasma L Blueprint",Mexallon,89
"Phased Plasma L Blueprint",Isogen,23
"EMP L Blueprint",Tritanium,1778
"EMP L Blueprint",Pyerite,127
"EMP L Blueprint",Mexallon,89
"EMP L Blueprint",Isogen,29
"Executioner Blueprint",Tritanium,32000
"Executioner Blueprint",Pyerite,6000
"Executioner Blueprint",Mexallon,2500
"Executioner Blueprint",Isogen,500
"Inquisitor Blueprint",Tritanium,24000
"Inquisitor Blueprint",Pyerite,4500
"Inquisitor Blueprint",Mexallon,1875
"Inquisitor Blueprint",Isogen,375
"Tormentor Blueprint",Tritanium,32000
"Tormentor Blueprint",Pyerite,6000
"Tormentor Blueprint",Mexallon,2500
"Tormentor Blueprint",Isogen,500
"Navitas Blueprint",Tritanium,24000
"Navitas Blueprint",Pyerite,4500
"Navitas Blueprint",Mexallon,1875
"Navitas Blueprint",Isogen,375
"Tristan Blueprint",Tritanium,32000
"Tristan Blueprint",Pyerite,6000
"Tristan Blueprint",Mexallon,2500
"Tristan Blueprint",Isogen,500
"Incursus Blueprint",Tritanium,32000
"Incursus Blueprint",Pyerite,6000
"Incursus Blueprint",Mexallon,2500
"Incursus Blueprint",Isogen,500
"Punisher Blueprint",Tritanium,32000
"Punisher Blueprint",Pyerite,6000
"Punisher Blueprint",Mexallon,2500
"Punisher Blueprint",Isogen,500
"Breacher Blueprint",Tritanium,32000
"Breacher Blueprint",Pyerite,6000
"Breacher Blueprint",Mexallon,2500
"Breacher Blueprint",Isogen,500
"Burst Blueprint",Tritanium,24000
"Burst Blueprint",Pyerite,4500
"Burst Blueprint",Mexallon,1875
"Burst Blueprint",Isogen,375
"Kestrel Blueprint",Tritanium,32000
"Kestrel Blueprint",Pyerite,6000
"Kestrel Blueprint",Mexallon,2500
"Kestrel Blueprint",Isogen,500
"Merlin Blueprint",Tritanium,32000
"Merlin Blueprint",Pyerite,6000
"Merlin Blueprint",Mexallon,2500
"Merlin Blueprint",Isogen,500
"Heron Blueprint",Tritanium,35200
"Heron Blueprint",Pyerite,6600
"Heron Blueprint",Mexallon,2750
"Heron Blueprint",Isogen,550
"Imicus Blueprint",Tritanium,35200
"Imicus Blueprint",Pyerite,6600
"Imicus Blueprint",Mexallon,2750
"Imicus Blueprint",Isogen,550
"Atron Blueprint",Tritanium,32000
"Atron Blueprint",Pyerite,6000
"Atron Blueprint",Mexallon,2500
"Atron Blueprint",Isogen,500
"Maulus Blueprint",Tritanium,24000
"Maulus Blueprint",Pyerite,4500
"Maulus Blueprint",Mexallon,1875
"Maulus Blueprint",Isogen,375
"Caldari Shuttle Blueprint",Tritanium,2778
"Moa Blueprint",Tritanium,540000
"Moa Blueprint",Pyerite,180000
"Moa Blueprint",Mexallon,36000
"Moa Blueprint",Isogen,10000
"Moa Blueprint",Nocxium,1500
"Moa Blueprint",Zydrine,350
"Moa Blueprint",Megacyte,140
"Maller Blueprint",Tritanium,540000
"Maller Blueprint",Pyerite,180000
"Maller Blueprint",Mexallon,36000
"Maller Blueprint",Isogen,10000
"Maller Blueprint",Nocxium,1500
"Maller Blueprint",Zydrine,350
"Maller Blueprint",Megacyte,140
"Augoror Blueprint",Tritanium,405000
"Augoror Blueprint",Pyerite,135000
"Augoror Blueprint",Mexallon,27000
"Augoror Blueprint",Isogen,7500
"Augoror Blueprint",Nocxium,1125
"Augoror Blueprint",Zydrine,263
"Augoror Blueprint",Megacyte,105
"Vexor Blueprint",Tritanium,540000
"Vexor Blueprint",Pyerite,180000
"Vexor Blueprint",Mexallon,36000
"Vexor Blueprint",Isogen,10000
"Vexor Blueprint",Nocxium,1500
"Vexor Blueprint",Zydrine,350
"Vexor Blueprint",Megacyte,140
"Thorax Blueprint",Tritanium,540000
"Thorax Blueprint",Pyerite,180000
"Thorax Blueprint",Mexallon,36000
"Thorax Blueprint",Isogen,10000
"Thorax Blueprint",Nocxium,1500
"Thorax Blueprint",Zydrine,350
"Thorax Blueprint",Megacyte,140
"Arbitrator Blueprint",Tritanium,405000
"Arbitrator Blueprint",Pyerite,135000
"Arbitrator Blueprint",Mexallon,27000
"Arbitrator Blueprint",Isogen,7500
"Arbitrator Blueprint",Nocxium,1125
"Arbitrator Blueprint",Zydrine,263
"Arbitrator Blueprint",Megacyte,105
"Rupture Blueprint",Tritanium,540000
"Rupture Blueprint",Pyerite,180000
"Rupture Blueprint",Mexallon,36000
"Rupture Blueprint",Isogen,10000
"Rupture Blueprint",Nocxium,1500
"Rupture Blueprint",Zydrine,350
"Rupture Blueprint",Megacyte,140
"Bellicose Blueprint",Tritanium,540000
"Bellicose Blueprint",Pyerite,180000
"Bellicose Blueprint",Mexallon,36000
"Bellicose Blueprint",Isogen,10000
"Bellicose Blueprint",Nocxium,1500
"Bellicose Blueprint",Zydrine,350
"Bellicose Blueprint",Megacyte,140
"Scythe Blueprint",Tritanium,405000
"Scythe Blueprint",Pyerite,135000
"Scythe Blueprint",Mexallon,27000
"Scythe Blueprint",Isogen,7500
"Scythe Blueprint",Nocxium,1125
"Scythe Blueprint",Zydrine,263
"Scythe Blueprint",Megacyte,105
"Blackbird Blueprint",Tritanium,405000
"Blackbird Blueprint",Pyerite,135000
"Blackbird Blueprint",Mexallon,27000
"Blackbird Blueprint",Isogen,7500
"Blackbird Blueprint",Nocxium,1125
"Blackbird Blueprint",Zydrine,263
"Blackbird Blueprint",Megacyte,105
"Celestis Blueprint",Tritanium,405000
"Celestis Blueprint",Pyerite,135000
"Celestis Blueprint",Mexallon,27000
"Celestis Blueprint",Isogen,7500
"Celestis Blueprint",Nocxium,1125
"Celestis Blueprint",Zydrine,263
"Celestis Blueprint",Megacyte,105
"Exequror Blueprint",Tritanium,405000
"Exequror Blueprint",Pyerite,135000
"Exequror Blueprint",Mexallon,27000
"Exequror Blueprint",Isogen,7500
"Exequror Blueprint",Nocxium,1125
"Exequror Blueprint",Zydrine,263
"Exequror Blueprint",Megacyte,105
"Badger Blueprint",Tritanium,80000
"Badger Blueprint",Pyerite,15000
"Badger Blueprint",Mexallon,3750
"Badger Blueprint",Isogen,2000
"Badger Blueprint",Nocxium,750
"Badger Blueprint",Zydrine,125
"Badger Blueprint",Megacyte,70
"Tayra Blueprint",Tritanium,80000
"Tayra Blueprint",Pyerite,15000
"Tayra Blueprint",Mexallon,3750
"Tayra Blueprint",Isogen,2000
"Tayra Blueprint",Nocxium,750
"Tayra Blueprint",Zydrine,125
"Tayra Blueprint",Megacyte,70
"Nereus Blueprint",Tritanium,80000
"Nereus Blueprint",Pyerite,15000
"Nereus Blueprint",Mexallon,3750
"Nereus Blueprint",Isogen,2000
"Nereus Blueprint",Nocxium,750
"Nereus Blueprint",Zydrine,125
"Nereus Blueprint",Megacyte,70
"Hoarder Blueprint",Tritanium,80000
"Hoarder Blueprint",Pyerite,15000
"Hoarder Blueprint",Mexallon,3750
"Hoarder Blueprint",Isogen,2000
"Hoarder Blueprint",Nocxium,750
"Hoarder Blueprint",Zydrine,125
"Hoarder Blueprint",Megacyte,70
"Mammoth Blueprint",Tritanium,80000
"Mammoth Blueprint",Pyerite,15000
"Mammoth Blueprint",Mexallon,3750
"Mammoth Blueprint",Isogen,2000
"Mammoth Blueprint",Nocxium,750
"Mammoth Blueprint",Zydrine,125
"Mammoth Blueprint",Megacyte,70
"Wreathe Blueprint",Tritanium,80000
"Wreathe Blueprint",Pyerite,15000
"Wreathe Blueprint",Mexallon,3750
"Wreathe Blueprint",Isogen,2000
"Wreathe Blueprint",Nocxium,750
"Wreathe Blueprint",Zydrine,125
"Wreathe Blueprint",Megacyte,70
"Kryos Blueprint",Tritanium,80000
"Kryos Blueprint",Pyerite,15000
"Kryos Blueprint",Mexallon,3750
"Kryos Blueprint",Isogen,2000
"Kryos Blueprint",Nocxium,750
"Kryos Blueprint",Zydrine,125
"Kryos Blueprint",Megacyte,70
"Epithal Blueprint",Tritanium,80000
"Epithal Blueprint",Pyerite,15000
"Epithal Blueprint",Mexallon,3750
"Epithal Blueprint",Isogen,2000
"Epithal Blueprint",Nocxium,750
"Epithal Blueprint",Zydrine,125
"Epithal Blueprint",Megacyte,70
"Miasmos Blueprint",Tritanium,80000
"Miasmos Blueprint",Pyerite,15000
"Miasmos Blueprint",Mexallon,3750
"Miasmos Blueprint",Isogen,2000
"Miasmos Blueprint",Nocxium,750
"Miasmos Blueprint",Zydrine,125
"Miasmos Blueprint",Megacyte,70
"Iteron Mark V Blueprint",Tritanium,80000
"Iteron Mark V Blueprint",Pyerite,15000
"Iteron Mark V Blueprint",Mexallon,3750
"Iteron Mark V Blueprint",Isogen,2000
"Iteron Mark V Blueprint",Nocxium,750
"Iteron Mark V Blueprint",Zydrine,125
"Iteron Mark V Blueprint",Megacyte,70
"Scorpion Blueprint",Tritanium,6000000
"Scorpion Blueprint",Pyerite,3000000
"Scorpion Blueprint",Mexallon,450000
"Scorpion Blueprint",Isogen,300000
"Scorpion Blueprint",Nocxium,9000
"Scorpion Blueprint",Zydrine,4500
"Scorpion Blueprint",Megacyte,2250
"Scorpion Blueprint","Auto-Integrity Preservation Seal",150
"Scorpion Blueprint","Core Temperature Regulator",1
"Scorpion Blueprint","Life Support Backup Unit",75
"Megathron Blueprint",Tritanium,8000000
"Megathron Blueprint",Pyerite,4000000
"Megathron Blueprint",Mexallon,600000
"Megathron Blueprint",Isogen,400000
"Megathron Blueprint",Nocxium,12000
"Megathron Blueprint",Zydrine,6000
"Megathron Blueprint",Megacyte,3000
"Megathron Blueprint","Auto-Integrity Preservation Seal",200
"Megathron Blueprint","Core Temperature Regulator",1
"Megathron Blueprint","Life Support Backup Unit",100
"Apocalypse Blueprint",Tritanium,8000000
"Apocalypse Blueprint",Pyerite,4000000
"Apocalypse Blueprint",Mexallon,600000
"Apocalypse Blueprint",Isogen,400000
"Apocalypse Blueprint",Nocxium,12000
"Apocalypse Blueprint",Zydrine,6000
"Apocalypse Blueprint",Megacyte,3000
"Apocalypse Blueprint","Auto-Integrity Preservation Seal",200
"Apocalypse Blueprint","Core Temperature Regulator",1
"Apocalypse Blueprint","Life Support Backup Unit",100
"Armageddon Blueprint",Tritanium,8000000
"Armageddon Blueprint",Pyerite,4000000
"Armageddon Blueprint",Mexallon,600000
"Armageddon Blueprint",Isogen,400000
"Armageddon Blueprint",Nocxium,12000
"Armageddon Blueprint",Zydrine,6000
"Armageddon Blueprint",Megacyte,3000
"Armageddon Blueprint","Auto-Integrity Preservation Seal",200
"Armageddon Blueprint","Core Temperature Regulator",1
"Armageddon Blueprint","Life Support Backup Unit",100
"Typhoon Blueprint",Tritanium,8000000
"Typhoon Blueprint",Pyerite,4000000
"Typhoon Blueprint",Mexallon,600000
"Typhoon Blueprint",Isogen,400000
"Typhoon Blueprint",Nocxium,12000
"Typhoon Blueprint",Zydrine,6000
"Typhoon Blueprint",Megacyte,3000
"Typhoon Blueprint","Auto-Integrity Preservation Seal",200
"Typhoon Blueprint","Core Temperature Regulator",1
"Typhoon Blueprint","Life Support Backup Unit",100
"Dominix Blueprint",Tritanium,8000000
"Dominix Blueprint",Pyerite,4000000
"Dominix Blueprint",Mexallon,600000
"Dominix Blueprint",Isogen,400000
"Dominix Blueprint",Nocxium,12000
"Dominix Blueprint",Zydrine,6000
"Dominix Blueprint",Megacyte,3000
"Dominix Blueprint","Auto-Integrity Preservation Seal",200
"Dominix Blueprint","Core Temperature Regulator",1
"Dominix Blueprint","Life Support Backup Unit",100
"Erebus Blueprint","Capital Propulsion Engine",100
