typeName,groupName,maxProductionLimit,basePrice,published,buildTime,outputQuantity,productName,productGroup4Name,productGroup3Name,productGroup2Name,productGroup1Name,productGroup0Name
Hexite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Hyperflurite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Neo Mercurite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Platinum Technite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Rolled Tungsten Alloy Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Silicon Diborite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Solerium Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Sulfuric Acid Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Titanium Chromide Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Vanadium Hafnite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Prometium Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Thulium Hafnite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Promethium Mercurite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Vanadium Hafnite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Platinum Technite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Solerium Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Caesarium Cadmide Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Hexite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Rolled Tungsten Alloy Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Titanium Chromide Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Fernite Alloy Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Crystallite Alloy Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Hyperflurite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Ferrofluid Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Prometium Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Neo Mercurite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Dysporite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Fluxed Condensates Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Thulium Hafnite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Unrefined Promethium Mercurite Reaction Formula,Composite Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Titanium Carbide Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Crystalline Carbonide Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Fernite Carbide Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Tungsten Carbide Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Sylramic Fibers Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Fulleride Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Phenolic Composites Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Nanotransistors Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Hypersynaptic Fibers Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Ferrogel Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Fermionic Condensates Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Plasmonic Metamaterials Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Terahertz Metamaterials Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Photonic Metamaterials Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Nonlinear Metamaterials Reaction Formula,Composite Reaction Formulas,1000,20000000,1,NULL,NULL,NULL,,,,,
Synth Drop Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Synth Exile Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Synth Frentix Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Standard Frentix Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Standard Drop Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Standard Exile Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Standard Mindflood Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Standard X-Instinct Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Standard Sooth Sayer Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Synth Mindflood Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Synth Sooth Sayer Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Standard Blue Pill Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Standard Crash Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Synth X-Instinct Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Synth Blue Pill Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Synth Crash Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Strong Blue Pill Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Improved Crash Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Improved Drop Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Improved Exile Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Improved Mindflood Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Improved Frentix Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Improved X-Instinct Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Improved Sooth Sayer Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Strong Crash Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Strong Drop Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Strong Exile Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Strong Mindflood Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Strong Frentix Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Strong X-Instinct Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Strong Sooth Sayer Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Improved Blue Pill Booster Reaction Formula,Biochemical Reaction Formulas,1000,10000000,1,NULL,NULL,NULL,,,,,
Esoteric Data Interface Blueprint,Tool Blueprint,8,NULL,1,72000,1,Esoteric Data Interface,,,,,
Occult Data Interface Blueprint,Tool Blueprint,8,NULL,1,72000,1,Occult Data Interface,,,,,
Incognito Data Interface Blueprint,Tool Blueprint,8,NULL,1,72000,1,Incognito Data Interface,,,,,
Cryptic Data Interface Blueprint,Tool Blueprint,8,NULL,1,72000,1,Cryptic Data Interface,,,,,
Occult Ship Data Interface Blueprint,Tool Blueprint,8,NULL,1,72000,1,Occult Ship Data Interface,,,,,
Esoteric Ship Data Interface Blueprint,Tool Blueprint,8,NULL,1,72000,1,Esoteric Ship Data Interface,,,,,
Incognito Ship Data Interface Blueprint,Tool Blueprint,8,NULL,1,72000,1,Incognito Ship Data Interface,,,,,
Cryptic Ship Data Interface Blueprint,Tool Blueprint,8,NULL,1,72000,1,Cryptic Ship Data Interface,,,,,
Mining Foreman Link - Harvester Capacitor Efficiency I Blueprint,Gang Coordinator Blueprint,50,1732280,1,3600,1,Mining Foreman Link - Harvester Capacitor Efficiency I,,,,,
Mining Foreman Link - Mining Laser Field Enhancement I Blueprint,Gang Coordinator Blueprint,50,1732280,1,3600,1,Mining Foreman Link - Mining Laser Field Enhancement I,,,,,
Mining Foreman Link - Laser Optimization I Blueprint,Gang Coordinator Blueprint,50,1732280,1,3600,1,Mining Foreman Link - Laser Optimization I,,,,,
Wild' Miner I Blueprint,Mining Laser Blueprint,200,NULL,1,900,1,Wild' Miner I,,,,,
Sansha Wrath Cruise Missile Blueprint,Missile Blueprint,200,3000000,1,900,100,Haunter Cruise Missile,,,,,
Sansha Juggernaut Torpedo Blueprint,Missile Blueprint,200,9000000,1,900,100,Banshee Torpedo,,,,,
Primae Blueprint,Industrial Blueprint,10,9999999,1,NULL,NULL,NULL,,,,,
Mangled Sansha Data Analyzer Blueprint,Data Miner Blueprint,600,332640,1,300,1,Mangled Sansha Data Analyzer,,,,,
Mining Foreman Link - Harvester Capacitor Efficiency II Blueprint,Gang Coordinator Blueprint,10,1732280,1,9360,1,Mining Foreman Link - Harvester Capacitor Efficiency II,,,,,
Mining Foreman Link - Laser Optimization II Blueprint,Gang Coordinator Blueprint,10,1732280,1,9360,1,Mining Foreman Link - Laser Optimization II,,,,,
Mining Foreman Link - Mining Laser Field Enhancement II Blueprint,Gang Coordinator Blueprint,10,1732280,1,9360,1,Mining Foreman Link - Mining Laser Field Enhancement II,,,,,
Advanced Cerebral Accelerator Blueprint,Booster Blueprints,300,NULL,1,600,1,Advanced Cerebral Accelerator,,,,,
Prototype Cerebral Accelerator Blueprint,Booster Blueprints,300,NULL,1,600,1,Prototype Cerebral Accelerator,,,,,
Stratios Emergency Responder Blueprint,Cruiser Blueprint,10,NULL,1,12000,1,Stratios Emergency Responder,,,,,
Mobile Decoy Unit Blueprint,Mobile Decoy Unit Blueprint,10,150000000,1,12000,1,Mobile Decoy Unit,,,,,
Small Intact Hull Section,Sleeper Hull Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Small Malfunctioning Hull Section,Sleeper Hull Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Small Wrecked Hull Section,Sleeper Hull Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Malfunctioning Hull Section,Sleeper Hull Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Wrecked Hull Section,Sleeper Hull Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Cryptic Tuner Data Interface Blueprint,Tool Blueprint,8,NULL,1,72000,1,Cryptic Tuner Data Interface,,,,,
Esoteric Tuner Data Interface Blueprint,Tool Blueprint,8,NULL,1,72000,1,Esoteric Tuner Data Interface,,,,,
Incognito Tuner Data Interface Blueprint,Tool Blueprint,8,NULL,1,72000,1,Incognito Tuner Data Interface,,,,,
Occult Tuner Data Interface Blueprint,Tool Blueprint,8,NULL,1,72000,1,Occult Tuner Data Interface,,,,,
Civilian Data Analyzer Blueprint,Data Miner Blueprint,600,20000,1,120,1,Civilian Data Analyzer,,,,,
Modified Augumene Antidote Blueprint,Drug Blueprint,600,NULL,1,300,1,Modified Augumene Antidote,,,,,
Basic Robotics Blueprint,Tool Blueprint,1000,NULL,1,480,1,Basic Robotics,,,,,
Intact Thruster Sections,Sleeper Propulsion Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Malfunctioning Thruster Sections,Sleeper Propulsion Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Wrecked Thruster Sections,Sleeper Propulsion Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Intact Power Cores,Sleeper Engineering Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Malfunctioning Power Cores,Sleeper Engineering Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Wrecked Power Cores,Sleeper Engineering Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Intact Armor Nanobot,Sleeper Defensive Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Malfunctioning Armor Nanobot,Sleeper Defensive Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Wrecked Armor Nanobot,Sleeper Defensive Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Intact Weapon Subroutines,Sleeper Offensive Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Malfunctioning Weapon Subroutines,Sleeper Offensive Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Wrecked Weapon Subroutines,Sleeper Offensive Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Intact Hull Section,Sleeper Hull Relics,300,NULL,1,NULL,NULL,NULL,,,,,
Concussion Bomb Blueprint,Bomb Blueprint,300,200000000,1,600,20,Concussion Bomb,Ammunition & Charges,Bombs,,,
Scorch Bomb Blueprint,Bomb Blueprint,300,200000000,1,600,20,Scorch Bomb,Ammunition & Charges,Bombs,,,
Shrapnel Bomb Blueprint,Bomb Blueprint,300,200000000,1,600,20,Shrapnel Bomb,Ammunition & Charges,Bombs,,,
Electron Bomb Blueprint,Bomb Blueprint,300,200000000,1,600,20,Electron Bomb,Ammunition & Charges,Bombs,,,
Lockbreaker Bomb Blueprint,Bomb Blueprint,300,150000000,1,600,20,Lockbreaker Bomb,Ammunition & Charges,Bombs,,,
Void Bomb Blueprint,Bomb Blueprint,300,150000000,1,600,20,Void Bomb,Ammunition & Charges,Bombs,,,
Cap Booster 3200 Blueprint,Capacitor Booster Charge Blueprint,200,20000000,1,900,10,Cap Booster 3200,Ammunition & Charges,Cap Booster Charges,,,
Cap Booster 75 Blueprint,Capacitor Booster Charge Blueprint,600,500000,1,300,10,Cap Booster 75,Ammunition & Charges,Cap Booster Charges,,,
Cap Booster 100 Blueprint,Capacitor Booster Charge Blueprint,600,1000000,1,300,10,Cap Booster 100,Ammunition & Charges,Cap Booster Charges,,,
Cap Booster 150 Blueprint,Capacitor Booster Charge Blueprint,300,1750000,1,600,10,Cap Booster 150,Ammunition & Charges,Cap Booster Charges,,,
Cap Booster 200 Blueprint,Capacitor Booster Charge Blueprint,300,2500000,1,600,10,Cap Booster 200,Ammunition & Charges,Cap Booster Charges,,,
Cap Booster 400 Blueprint,Capacitor Booster Charge Blueprint,200,3750000,1,900,10,Cap Booster 400,Ammunition & Charges,Cap Booster Charges,,,
Cap Booster 800 Blueprint,Capacitor Booster Charge Blueprint,200,5000000,1,900,10,Cap Booster 800,Ammunition & Charges,Cap Booster Charges,,,
Cap Booster 25 Blueprint,Capacitor Booster Charge Blueprint,600,100000,1,300,10,Cap Booster 25,Ammunition & Charges,Cap Booster Charges,,,
Cap Booster 50 Blueprint,Capacitor Booster Charge Blueprint,600,250000,1,300,10,Cap Booster 50,Ammunition & Charges,Cap Booster Charges,,,
Armor Energizing Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Armor Energizing Charge,Ammunition & Charges,Command Burst Charges,Armor Command Burst Charges,,
Armor Reinforcement Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Armor Reinforcement Charge,Ammunition & Charges,Command Burst Charges,Armor Command Burst Charges,,
Rapid Repair Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Rapid Repair Charge,Ammunition & Charges,Command Burst Charges,Armor Command Burst Charges,,
Electronic Hardening Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Electronic Hardening Charge,Ammunition & Charges,Command Burst Charges,Information Command Burst Charges,,
Electronic Superiority Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Electronic Superiority Charge,Ammunition & Charges,Command Burst Charges,Information Command Burst Charges,,
Sensor Optimization Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Sensor Optimization Charge,Ammunition & Charges,Command Burst Charges,Information Command Burst Charges,,
Mining Equipment Preservation Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Mining Equipment Preservation Charge,Ammunition & Charges,Command Burst Charges,Mining Foreman Burst Charges,,
Mining Laser Field Enhancement Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Mining Laser Field Enhancement Charge,Ammunition & Charges,Command Burst Charges,Mining Foreman Burst Charges,,
Mining Laser Optimization Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Mining Laser Optimization Charge,Ammunition & Charges,Command Burst Charges,Mining Foreman Burst Charges,,
Active Shielding Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Active Shielding Charge,Ammunition & Charges,Command Burst Charges,Shield Command Burst Charges,,
Shield Extension Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Shield Extension Charge,Ammunition & Charges,Command Burst Charges,Shield Command Burst Charges,,
Shield Harmonizing Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Shield Harmonizing Charge,Ammunition & Charges,Command Burst Charges,Shield Command Burst Charges,,
Evasive Maneuvers Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Evasive Maneuvers Charge,Ammunition & Charges,Command Burst Charges,Skirmish Command Burst Charges,,
Interdiction Maneuvers Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Interdiction Maneuvers Charge,Ammunition & Charges,Command Burst Charges,Skirmish Command Burst Charges,,
Rapid Deployment Charge Blueprint,Command Burst Charge Blueprint,200,10000000,1,5000,500,Rapid Deployment Charge,Ammunition & Charges,Command Burst Charges,Skirmish Command Burst Charges,,
ElectroPunch Ultra L Blueprint,Advanced Condenser Pack Blueprint,10,10000000000,1,14400,200,ElectroPunch Ultra L,Ammunition & Charges,Condenser Packs,Advanced Condenser Packs,Large,
StrikeSnipe Ultra L Blueprint,Advanced Condenser Pack Blueprint,10,10000000000,1,14400,200,StrikeSnipe Ultra L,Ammunition & Charges,Condenser Packs,Advanced Condenser Packs,Large,
ElectroPunch Ultra M Blueprint,Advanced Condenser Pack Blueprint,10,10000000000,1,9600,200,ElectroPunch Ultra M,Ammunition & Charges,Condenser Packs,Advanced Condenser Packs,Medium,
StrikeSnipe Ultra M Blueprint,Advanced Condenser Pack Blueprint,10,10000000000,1,9600,200,StrikeSnipe Ultra M,Ammunition & Charges,Condenser Packs,Advanced Condenser Packs,Medium,
ElectroPunch Ultra S Blueprint,Advanced Condenser Pack Blueprint,10,10000000000,1,4800,200,ElectroPunch Ultra S,Ammunition & Charges,Condenser Packs,Advanced Condenser Packs,Small,
StrikeSnipe Ultra S Blueprint,Advanced Condenser Pack Blueprint,10,10000000000,1,4800,200,StrikeSnipe Ultra S,Ammunition & Charges,Condenser Packs,Advanced Condenser Packs,Small,
GalvaSurge Condenser Pack L Blueprint,Condenser Pack Blueprint,200,40000,1,900,500,GalvaSurge Condenser Pack L,Ammunition & Charges,Condenser Packs,Standard Condenser Packs,Large,
MesmerFlux Condenser Pack L Blueprint,Condenser Pack Blueprint,200,40000,1,900,500,MesmerFlux Condenser Pack L,Ammunition & Charges,Condenser Packs,Standard Condenser Packs,Large,
BlastShot Condenser Pack L Blueprint,Condenser Pack Blueprint,200,40000,1,900,500,BlastShot Condenser Pack L,Ammunition & Charges,Condenser Packs,Standard Condenser Packs,Large,
SlamBolt Condenser Pack L Blueprint,Condenser Pack Blueprint,200,40000,1,900,500,SlamBolt Condenser Pack L,Ammunition & Charges,Condenser Packs,Standard Condenser Packs,Large,
GalvaSurge Condenser Pack M Blueprint,Condenser Pack Blueprint,300,40000,1,600,500,GalvaSurge Condenser Pack M,Ammunition & Charges,Condenser Packs,Standard Condenser Packs,Medium,
MesmerFlux Condenser Pack M Blueprint,Condenser Pack Blueprint,300,40000,1,600,500,MesmerFlux Condenser Pack M,Ammunition & Charges,Condenser Packs,Standard Condenser Packs,Medium,
BlastShot Condenser Pack M Blueprint,Condenser Pack Blueprint,300,40000,1,600,500,BlastShot Condenser Pack M,Ammunition & Charges,Condenser Packs,Standard Condenser Packs,Medium,
SlamBolt Condenser Pack M Blueprint,Condenser Pack Blueprint,300,40000,1,600,500,SlamBolt Condenser Pack M,Ammunition & Charges,Condenser Packs,Standard Condenser Packs,Medium,
GalvaSurge Condenser Pack S Blueprint,Condenser Pack Blueprint,600,40000,1,300,500,GalvaSurge Condenser Pack S,Ammunition & Charges,Condenser Packs,Standard Condenser Packs,Small,
MesmerFlux Condenser Pack S Blueprint,Condenser Pack Blueprint,600,40000,1,300,500,MesmerFlux Condenser Pack S,Ammunition & Charges,Condenser Packs,Standard Condenser Packs,Small,
BlastShot Condenser Pack S Blueprint,Condenser Pack Blueprint,600,40000,1,300,500,BlastShot Condenser Pack S,Ammunition & Charges,Condenser Packs,Standard Condenser Packs,Small,
SlamBolt Condenser Pack S Blueprint,Condenser Pack Blueprint,600,40000,1,300,500,SlamBolt Condenser Pack S,Ammunition & Charges,Condenser Packs,Standard Condenser Packs,Small,
Occult L Blueprint,Advanced Exotic Plasma Charge Blueprint,10,10000000000,1,14400,5000,Occult L,Ammunition & Charges,Exotic Plasma Charges,Advanced Exotic Plasma Charges,Large,
Mystic L Blueprint,Advanced Exotic Plasma Charge Blueprint,10,10000000000,1,14400,5000,Mystic L,Ammunition & Charges,Exotic Plasma Charges,Advanced Exotic Plasma Charges,Large,
Occult M Blueprint,Advanced Exotic Plasma Charge Blueprint,10,10000000000,1,9600,5000,Occult M,Ammunition & Charges,Exotic Plasma Charges,Advanced Exotic Plasma Charges,Medium,
Mystic M Blueprint,Advanced Exotic Plasma Charge Blueprint,10,10000000000,1,9600,5000,Mystic M,Ammunition & Charges,Exotic Plasma Charges,Advanced Exotic Plasma Charges,Medium,
Occult S Blueprint,Advanced Exotic Plasma Charge Blueprint,10,10000000000,1,4800,5000,Occult S,Ammunition & Charges,Exotic Plasma Charges,Advanced Exotic Plasma Charges,Small,
